product_name,subcategory_name,brand_name,sku,price,description,warranty_months
iPhone 15 Clear Case,Phone Cases,Apple,APL-IC15-CLR,49.99,Clear protective case for iPhone 15,12
Galaxy S23 Screen Protector,Screen Protectors,Samsung,SAM-SP-S23,19.99,Tempered glass screen protector,6
PowerCore 20000,Chargers,Anker,ANK-PC20K,39.99,20000mAh portable charger,18
MX Master 3S,Mice,Logitech,LOG-MXM3S,99.99,Professional wireless mouse,24
WH-1000XM5,Headphones,Sony,SNY-WH1000XM5,399.99,Premium noise cancelling headphones,24
DeathAdder V3,Mice,Razer,RZR-DAV3,149.99,Gaming mouse with 30K DPI,24
Magic Keyboard,Keyboards,Apple,APL-MK-01,129.99,Wireless keyboard with numeric keypad,12
Galaxy Buds2 Pro,Headphones,Samsung,SAM-GB2P,229.99,True wireless earbuds,12
Stream Deck,Controllers,Logitech,LOG-SD15,149.99,15-key LCD controller,24
Smart Plug Mini,Smart Plugs,Anker,ANK-SPM,24.99,WiFi smart plug with app control,12